TestTime,Result,Cooked,PeakdB,CookedVPtime,RefVPTime,CookedTime/RefTime*100%,VPList,CookedTime,RefTime,Cooked/RefTime*100%,VRRestult,CookVLen,RefVLen,,,
2018-05-18-19-09-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_09_00\capaec29.pcm,-5,16999,12036,141.2346294,[(427278 499 -11) (475305 506 -11) (570739 410 -11) (618584 415 -11) (661928 372 -15) (709715 374 -14) (774241 351 -7) (822222 368 -6) (893772 250 -15) (941910 252 -14) (1034517 140 -14) (1082537 153 -14) (1130423 212 -15) (1177935 223 -12) (1215842 400 -12) (1263251 437 -7) (1405920 11637 -5)],8888,8576,103.6380597,有阳阳你行有你可行啊我的英语唉我要给钱的我找哪个嗯,25,52,,,
2018-05-18-19-10-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_10_00\capaec30.pcm,-6,17001,12036,141.2512463,[(428657 500 -11) (475523 524 -11) (571696 390 -13) (619273 404 -12) (661920 370 -10) (709727 379 -9) (774722 341 -7) (822429 361 -6) (894722 241 -15) (942326 262 -14) (1035391 130 -14) (1083445 131 -13) (1130413 210 -17) (1178046 233 -13) (1215893 430 -7) (1263943 431 -8) (1405519 11664 -6)],9192,8576,107.1828358,有行行杨如行形r刚刚给我的心好嗯嗯好几天了都疼的我讲呢有这么怕橘色眼镜一,36,52,,,
2018-05-18-19-11-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_11_00\capaec31.pcm,-6,16972,12036,141.0103024,[(428256 508 -11) (476465 502 -11) (571237 412 -10) (619393 415 -9) (662442 229 -14) (710132 383 -12) (777601 270 -13) (822952 339 -6) (895202 230 -20) (942332 261 -14) (1035842 130 -14) (1071855 19 -48) (1083232 146 -14) (1119224 453 -12) (1178759 224 -12) (1216320 420 -10) (1263954 436 -7) (1408807 11595 -6)],9141,8576,106.588153,永永阳阳林行如行俺看看给你我的心嗯恩爱那就行了我觉得很嗯嗯嗯,30,52,,,
2018-05-18-19-12-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_12_00\capaec32.pcm,-5,17052,12036,141.6749751,[(427253 499 -11) (475280 504 -11) (570242 411 -12) (618155 413 -11) (661440 381 -12) (709106 392 -11) (774243 371 -6) (822214 360 -6) (894252 241 -14) (941924 243 -14) (1034409 141 -13) (1082057 162 -14) (1130051 220 -15) (1177665 230 -13) (1214967 440 -8) (1263222 432 -8) (1407360 11612 -5)],9099,8576,106.0984142,有阳阳你行行有杨行就把妈留了我的心那么好不恩爱我要以前的我总是用自己的名字呢,38,52,,,
2018-05-18-19-13-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_13_00\capaec33.pcm,-5,16895,12036,140.370555,[(433920 380 -14) (477012 487 -11) (570748 429 -11) (618505 421 -11) (661932 390 -16) (709663 398 -16) (775682 350 -10) (823017 353 -7) (895261 249 -17) (942913 261 -14) (1035360 140 -13) (1083321 143 -13) (1130890 201 -17) (1178754 207 -12) (1216324 411 -9) (1264292 426 -7) (1405922 11649 -5)],9160,8576,106.8097015,能杨行有有杨行很很很很很鲁我的心嗯哼嗯哼嗯主要的我觉得呵呵嗯嗯鲁局更严重的你,38,52,,,
2018-05-18-19-14-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_14_00\capaec34.pcm,-6,16827,12036,139.8055833,[(429705 490 -10) (482311 395 -11) (572219 410 -11) (620381 409 -11) (662902 372 -15) (710649 383 -14) (776209 331 -7) (823849 346 -7) (896640 190 -23) (943576 263 -15) (1036321 149 -21) (1083864 165 -18) (1131374 220 -19) (1179036 228 -11) (1217286 410 -11) (1264986 423 -8) (1406880 11643 -6)],9318,8576,108.6520522,赢赢行恩行行如行你啊很很很鲁的心嗯嗯唉聊激情的我叫的嗯嗯嗯嗯恩恩嗯,33,52,,,
2018-05-18-19-15-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_15_00\capaec35.pcm,-5,16514,12036,137.2050515,[(427689 501 -11) (475171 517 -11) (570722 401 -12) (618505 409 -11) (661442 381 -13) (709295 401 -13) (774780 330 -8) (822546 349 -6) (894722 230 -16) (942200 247 -16) (1034886 141 -14) (1082730 146 -14) (1130895 201 -12) (1178729 210 -12) (1215453 430 -9) (1263511 435 -8) (1408800 0 -32) (1426554 11185 -5)],8833,8576,102.9967351,如请你先有想行啊不那我的心那么好不为什么总爱我要拒绝我咋了那就大局已定你,36,52,,,
2018-05-18-19-16-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_16_00\capaec36.pcm,-6,16861,12036,140.0880691,[(433440 370 -12) (476254 499 -11) (571202 390 -12) (618689 413 -11) (661928 370 -11) (709482 390 -8) (774732 360 -8) (822600 365 -8) (894736 239 -19) (942590 249 -17) (1034883 139 -16) (1082873 146 -14) (1130401 221 -14) (1178036 236 -10) (1215848 421 -10) (1263950 434 -7) (1405921 11619 -6)],9134,8576,106.5065299,永行行有这你行狠狠狠狠撸嗯恩恩爱爱可不要给他面子我就得嗯,28,52,,,
2018-05-18-19-17-45,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_17_00\capaec37.pcm,-6,17109,12036,142.1485543,[(428235 519 -11) (476383 514 -11) (572173 402 -12) (620441 397 -11) (662884 392 -13) (710790 390 -13) (775692 361 -8) (823817 356 -6) (895797 377 -15) (943838 373 -14) (1036800 30 -31) (1084021 142 -13) (1131361 210 -17) (1179456 221 -13) (1217284 410 -11) (1265009 428 -8) (1408815 11587 -6)],8998,8576,104.920709,你赢你型型型有你如那行二楼是我的心嗯嗯唉还聊天呢我找的嗯嗯嗯嗯恩恩嗯,34,52,,,
2018-05-18-19-18-46,有压制,D:\AEC_sop\AECTestCode\Cap_Audio_file\2018_05_18_19_18_00\capaec38.pcm,-5,16560,12036,137.5872383,[(428165 500 -10) (475798 516 -10) (571706 399 -13) (619355 415 -10) (662400 371 -12) (709999 384 -11) (775713 321 -7) (823402 353 -8) (894751 251 -16) (942542 390 -15) (1035401 131 -16) (1083026 143 -14) (1130941 229 -15) (1178845 230 -10) (1216394 430 -9) (1264438 430 -9) (1406042 3587 -6) (1593414 2694 -6) (1734240 4786 -5)],8941,8576,104.2560634,有行你行刘想行跨行汇款可能有我的心要么好不长城一种爱好与罗长子你的价值不言自明的,40,52,,,
